Group,Name,Description,ID,Tag1:Category,Tag2:Building,Tag5:Floor,Tag5:RoomName
高校バスケ,バスケットマニア,毎年運営しているバスケットマニアを今年も開催します！ルールは簡単でシュートの入った本数と打った場所に応じてポイントを獲得！高得点で豪華景品ももらえるのでバスケに興味ある人は気軽に立ち寄ってみてください！質問や相談も遠慮なくどうぞ。,918225149,体験,屋外,,グラウンド
陸上競技部,よ～いどん！,陸上競技部今年も50m走をやります！どんな方でも大歓迎！スポーツテストのタイムを抜けるかな？陸上部と走れます！たくさんの挑戦待ってます！,919192228,体験,屋外,,グラウンド
高校野球部,開成スタジアム,逗子開成高校野球部です！週5回の活動日をグラウンドやターフすぐ横の海岸などで練習しています。チームの基本は返事・声掛け・全力疾走でこの３つの柱を中心にチームをまとめあげ夏の大会の勝利に向けて一生懸命頑張ります!,920064330,体験,屋外,,ターフグラウンド
剣道部,直斗杯,毎年恒例「直斗杯」!! 相手の頭についた風船をたたき落とせ!! 剣道部主催のチャンバラ形式のミニゲームです。ぜひお越しください!!,920210408,体験,武道館,1F,剣道場
柔道部,U.S.ARMY CHALLENGE,私たち柔道部はU.S.ARMY CHALLENGE をやります。アメリカ軍入隊で使われるトレーニングを中心に、射撃訓練などで点数を競います。高得点の方には豪華景品を用意しています。ご入隊お待ちしてます。,916194430,体験,武道館,2F,柔道場
生物部,いのち輝く 逗子生物万博,せっかく逗子開成に来たのに、かわいい子が全然いない、と思っているあなた！「いのち輝く逗子生物万博」に来て下さい。わが校の生物部で飼っている様々な生き物たちを見ることが出来るのでよかったらぜひ！,930070231,展示,理科棟,1F,生物実験室
電気部,電気部のずしエネ！,電気部の例年通り電気とほとんど関係のない活動を紹介する屋内展示と一部活動を屋外にて実演する企画です。他の学校ではなかなか見られない鍛冶や卸金の実演を見られるほか、室内では鋳造体験などができます。,918210134,体験,理科棟,1F,化学実験室
中学ヨット部,The yacht ヨットの流儀,中学ヨット部では、展示とレースとロープワーク体験を行っています。レースの結果を予想してもらい、見事レースの順位を当てた方にはヨット部限定の景品をプレゼントします。ぜひ海洋センター地下に来てください！,919215331,展示:体験,海洋教育センター,B1F,
鉄道研究部,逗開路快速,今年は鉄道研究部ではジオラマ展示や研究発表、鉄道シミュレーター体験、合格祈願切符の配布を行います。芸術棟で展示していますので、ぜひ足をお運びください！,919234645,展示:体験,芸術棟,,
逗子開成学園賛助会,賛助会 ステーション,逗子開成学園賛助会では、昨年よりヨット部の廃棄するセイル生地をご提供いただき、トートバック、キーホルダーなどを作成·販売し、開成祭を盛り上げ、売り上げを学校(生徒会)に寄付する活動を行っております。,zk01,物販,屋外,,武道館前
逗子開成学園校友会,開成グッズ販売,校友会は海洋教育センター会場で、活動報告や取り組みをパネルで紹介。展示の隣りには休憩コーナーを出店し、来場された方に、コーヒーや紅茶などを提供します。また、Tシャツやスウェット、ネクタイ、ボールペンやクリアファイルの文具などのグッズ販売を行います。対面販売は開成祭の二日間がチャンス。毎年、売り切れ商品続出、早めのお越しをお待ちしています。,zk02,物販:展示,海洋教育センター,1F,
逗子開成学園PTA,逗子開成グッズ販売,どら焼きやキャンディ、ハンカチ、パスケース、エコバッグなどを販売します。いずれもここだけのオリジナルです。,zk03,物販:展示,海洋教育センター,1F,
,キッチンカー,,foodtrucks,食品,屋外,,体育館横
,ステージ企画,,sonstage,公演:体験,屋外,,グラウンド
